time,tier,map,ban,matchid
1/26/2020 5:39:50 PM,24,Ranked Timber Mill,Kinessa,930737972
1/7/2020 5:22:07 PM,24,Ranked Stone Keep,Atlas,922402447
1/7/2020 5:22:07 PM,24,Ranked Stone Keep,Strix,922402447
1/7/2020 5:22:07 PM,24,Ranked Stone Keep,Willo,922402447
1/7/2020 5:22:07 PM,24,Ranked Stone Keep,Makoa,922402447
1/6/2020 3:19:20 PM,24,Ranked Serpent Beach,Atlas,922029529
1/6/2020 3:19:20 PM,24,Ranked Serpent Beach,Lian,922029529
1/6/2020 3:19:20 PM,24,Ranked Serpent Beach,Strix,922029529
1/6/2020 3:19:20 PM,24,Ranked Serpent Beach,Raum,922029529
1/28/2020 3:25:46 PM,24,Ranked Timber Mill,Evie,931438881
1/28/2020 3:25:46 PM,24,Ranked Timber Mill,Strix,931438881
1/28/2020 3:25:46 PM,24,Ranked Timber Mill,Bomb King,931438881
1/28/2020 3:25:46 PM,24,Ranked Timber Mill,Torvald,931438881
1/12/2020 1:23:39 AM,24,Ranked Ascension Peak,Jenos,924371048
1/12/2020 1:23:39 AM,24,Ranked Ascension Peak,Atlas,924371048
1/12/2020 1:23:39 AM,24,Ranked Ascension Peak,Willo,924371048
1/12/2020 1:23:39 AM,24,Ranked Ascension Peak,Makoa,924371048
1/31/2020 8:09:21 PM,24,Ranked Frog Isle,Strix,932654508
1/31/2020 8:09:21 PM,24,Ranked Frog Isle,Bomb King,932654508
1/31/2020 8:09:21 PM,24,Ranked Frog Isle,Kinessa,932654508
1/31/2020 8:09:21 PM,24,Ranked Frog Isle,Torvald,932654508
2/4/2020 10:54:03 PM,24,Ranked Bazaar,Zhin,934397986
2/4/2020 10:54:03 PM,24,Ranked Bazaar,Torvald,934397986
2/4/2020 10:54:03 PM,24,Ranked Bazaar,Evie,934397986
2/4/2020 10:54:03 PM,24,Ranked Bazaar,Strix,934397986
1/15/2020 10:21:13 AM,24,Ranked Serpent Beach,Torvald,925833907
1/15/2020 10:21:13 AM,24,Ranked Serpent Beach,Strix,925833907
1/15/2020 10:21:13 AM,24,Ranked Serpent Beach,Zhin,925833907
1/15/2020 10:21:13 AM,24,Ranked Serpent Beach,Willo,925833907
1/10/2020 5:00:21 AM,24,Ranked Serpent Beach,Strix,923410107
1/10/2020 5:00:21 AM,24,Ranked Serpent Beach,Makoa,923410107
1/10/2020 5:00:21 AM,24,Ranked Serpent Beach,Willo,923410107
1/10/2020 5:00:21 AM,24,Ranked Serpent Beach,Barik,923410107
1/24/2020 8:08:21 PM,24,Ranked Timber Mill,Torvald,929787787
1/24/2020 8:08:21 PM,24,Ranked Timber Mill,Jenos,929787787
1/24/2020 8:08:21 PM,24,Ranked Timber Mill,Koga,929787787
1/24/2020 8:08:21 PM,24,Ranked Timber Mill,Strix,929787787
1/9/2020 12:49:22 AM,24,Ranked Ice Mines,Raum,922883412
1/9/2020 12:49:22 AM,24,Ranked Ice Mines,Atlas,922883412
1/9/2020 12:49:22 AM,24,Ranked Ice Mines,Makoa,922883412
1/9/2020 12:49:22 AM,24,Ranked Ice Mines,Bomb King,922883412
2/9/2020 1:55:16 PM,24,Ranked Jaguar Falls,Torvald,936168761
2/9/2020 1:55:16 PM,24,Ranked Jaguar Falls,Zhin,936168761
2/9/2020 1:55:16 PM,24,Ranked Jaguar Falls,Jenos,936168761
2/9/2020 1:55:16 PM,24,Ranked Jaguar Falls,Bomb King,936168761
1/26/2020 11:07:12 PM,24,Ranked Timber Mill,Strix,930876543
1/26/2020 11:07:12 PM,24,Ranked Timber Mill,Torvald,930876543
1/26/2020 11:07:12 PM,24,Ranked Timber Mill,Kinessa,930876543
1/26/2020 11:07:12 PM,24,Ranked Timber Mill,Zhin,930876543
1/29/2020 6:16:06 AM,24,Ranked Bazaar,Koga,931706247
